Id,PcsId,StageId,StageRaceId,StageRace,Name,RaceDate,RaceType,Distance,Elevation,Duration,Status,ProfileImageUrl,PointsScale,UciScale,ParcoursType,ProfileScore,RaceRanking,StartlistQuality,DecidingMethod,Classification,Category,PcsUrl,WcsUrl,PointsRetrieved,ResultsRetrieved,StartListRetrieved,DetailsCompleted,GameOrganized,Error,Updated
tour-of-norway/2025/stage-2,tour-of-norway/2025/stage-2,stage-2,tour-of-norway/2025,0,Stage 2 |  -,2025-05-30 00:00:00.000,NULL,0,NULL,NULL,Planned,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL
tour-of-norway/2025/stage-3,tour-of-norway/2025/stage-3,stage-3,tour-of-norway/2025,0,Stage 3 |  -,2025-05-31 00:00:00.000,NULL,0,NULL,NULL,Planned,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL
tour-of-norway/2025/stage-4,tour-of-norway/2025/stage-4,stage-4,tour-of-norway/2025,0,Stage 4 |  -,2025-06-01 00:00:00.000,NULL,0,NULL,NULL,Planned,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL
tour-of-oman/2024,NULL,NULL,NULL,1,Tour of Oman,NULL,NULL,NULL,NULL,NULL,Finished,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,1,NULL,NULL,NULL
tour-of-oman/2024/stage-1,tour-of-oman/2024/stage-1,stage-1,tour-of-oman/2024,1,Stage 1 | Oman Across Ages Museum - Oman Convention and Exhibition Centre (OCEC),2024-02-10 00:00:00.000,Multi-day race,182,907,0,Finished,https://www.procyclingstats.com/images/profiles/ca/fc/tour-of-oman-2024-stage-1-profile.png,2.PRO.Stage,UCI.WR.Pro.Stage,3,15,99,224,Sprintoflargegroup,2.Pro,ME - Men Elite,https://www.procyclingstats.com/race/tour-of-oman/2024/stage-1,https://www.worldcyclingstats.com/en/race/tour-of-oman/2024/stage-1,0,1,0,0,NULL,NULL,2025-02-06 19:40:13.7759980
tour-of-oman/2024/stage-2,tour-of-oman/2024/stage-2,stage-2,tour-of-oman/2024,1,Stage 2 | Al Sifah - Qurayyat,2024-02-11 00:00:00.000,Multi-day race,170,2140,2,Finished,https://www.procyclingstats.com/images/profiles/ca/ed/tour-of-oman-2024-stage-2-profile.png,2.PRO.Stage,UCI.WR.Pro.Stage,3,96,99,224,Sprintoflargegroup,2.Pro,ME - Men Elite,https://www.procyclingstats.com/race/tour-of-oman/2024/stage-2,https://www.worldcyclingstats.com/en/race/tour-of-oman/2024/stage-2,0,1,0,0,NULL,NULL,2025-02-06 19:40:17.6475240
tour-of-oman/2024/stage-3,tour-of-oman/2024/stage-3,stage-3,tour-of-oman/2024,1,Stage 3 | Naseem Park - Al Bustan,2024-02-12 00:00:00.000,Multi-day race,76,567,0,Finished,https://www.procyclingstats.com/images/profiles/ca/ea/tour-of-oman-2024-stage-3-profile.jpg,2.PRO.Stage,UCI.WR.Pro.Stage,3,19,99,224,Sprintoflargegroup,2.Pro,ME - Men Elite,https://www.procyclingstats.com/race/tour-of-oman/2024/stage-3,https://www.worldcyclingstats.com/en/race/tour-of-oman/2024/stage-3,0,1,0,0,NULL,NULL,2025-02-06 19:40:21.3864390
tour-of-oman/2024/stage-4,tour-of-oman/2024/stage-4,stage-4,tour-of-oman/2024,1,Stage 4 | Fanja - Yitti Hills,2024-02-13 00:00:00.000,Multi-day race,104,1222,0,Finished,https://www.procyclingstats.com/images/profiles/ca/eb/tour-of-oman-2024-stage-4-profile.jpg,2.PRO.Stage,UCI.WR.Pro.Stage,3,114,99,224,Sprintofsmallgroup,2.Pro,ME - Men Elite,https://www.procyclingstats.com/race/tour-of-oman/2024/stage-4,https://www.worldcyclingstats.com/en/race/tour-of-oman/2024/stage-4,0,1,0,0,NULL,NULL,2025-02-06 19:40:24.9662500
tour-of-oman/2024/stage-5,tour-of-oman/2024/stage-5,stage-5,tour-of-oman/2024,1,Stage 5 | Samail ''Al Fayhaa Reshouse'' - Jabal Al Akhdhar (Green Mountain),2024-02-14 00:00:00.000,Multi-day race,72,1178,11,Finished,https://www.procyclingstats.com/images/profiles/ca/be/tour-of-oman-2024-stage-5-profile.jpg,2.PRO.Stage,UCI.WR.Pro.Stage,5,188,99,224,0.1kmsolo,2.Pro,ME - Men Elite,https://www.procyclingstats.com/race/tour-of-oman/2024/stage-5,https://www.worldcyclingstats.com/en/race/tour-of-oman/2024/stage-5,0,1,0,0,NULL,NULL,2025-02-06 19:40:29.0069350
tour-of-oman/2025,NULL,NULL,NULL,0,Tour of Oman,NULL,NULL,NULL,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,1,NULL,NULL,2025-02-06 20:08:33.8078850
