Id,PcsId,StageId,StageRaceId,StageRace,Name,RaceDate,RaceType,Distance,Status,ProfileImageUrl,PointsScale,UciScale,ParcoursType,ProfileScore,RaceRanking,Elevation,StartlistQuality,DecidingMethod,Classification,Category,PcsUrl,WcsUrl,PointsRetrieved,GameOrganized,Updated
tour-cycliste-international-de-la-guadeloupe/2024,,,,True,Tour Cycliste International de la Guadeloupe,,,,WaitingForStartList,,,,,,,,,,,,,,,,
tour-cycliste-international-de-la-guadeloupe/2024/stage-0,tour-cycliste-international-de-la-guadeloupe/2024/stage-0,,,False,Prologue | Basse-Terre - Basse-Terre,,,3.0,New,,,,,,,,,,,,,,,,2025-01-20 11:32:41.467629
tour-cycliste-international-de-la-guadeloupe/2024/stage-1,tour-cycliste-international-de-la-guadeloupe/2024/stage-1,,,False,Stage 1 | Le Gosier - Le Gosier,,,158.0,New,,,,,,,,,,,,,,,,2025-01-20 11:32:41.482005
tour-cycliste-international-de-la-guadeloupe/2024/stage-2,tour-cycliste-international-de-la-guadeloupe/2024/stage-2,,,False,Stage 2 | Le Moule - Bouillante,,,152.0,New,,,,,,,,,,,,,,,,2025-01-20 11:32:41.493950
tour-cycliste-international-de-la-guadeloupe/2024/stage-3,tour-cycliste-international-de-la-guadeloupe/2024/stage-3,,,False,Stage 3 | Baie-Mahault - Pointe-à-Pitre,,,162.0,New,,,,,,,,,,,,,,,,2025-01-20 11:32:41.504797
tour-cycliste-international-de-la-guadeloupe/2024/stage-4,tour-cycliste-international-de-la-guadeloupe/2024/stage-4,,,False,Stage 4 | Anse-Bertrand - Capesterre-Belle-Eau,,,146.0,New,,,,,,,,,,,,,,,,2025-01-20 11:32:41.515786
tour-cycliste-international-de-la-guadeloupe/2024/stage-5,tour-cycliste-international-de-la-guadeloupe/2024/stage-5,,,False,Stage 5 | Gourbeyre - Les Abymes,,,159.0,New,,,,,,,,,,,,,,,,2025-01-20 11:32:41.526921
tour-cycliste-international-de-la-guadeloupe/2024/stage-6,tour-cycliste-international-de-la-guadeloupe/2024/stage-6,,,False,Stage 6 | Goyave - Pointe-Noire,,,157.0,New,,,,,,,,,,,,,,,,2025-01-20 11:32:41.539284
tour-cycliste-international-de-la-guadeloupe/2024/stage-7,tour-cycliste-international-de-la-guadeloupe/2024/stage-7,,,False,Stage 7 | Morne-à-l'Eau - Petit-Canal,,,160.0,New,,,,,,,,,,,,,,,,2025-01-20 11:32:41.551290
tour-cycliste-international-de-la-guadeloupe/2024/stage-8,tour-cycliste-international-de-la-guadeloupe/2024/stage-8,,,False,Stage 8 | Lamentin - Sainte-Rose,,,142.0,New,,,,,,,,,,,,,,,,2025-01-20 11:32:41.564377
tour-cycliste-international-de-la-guadeloupe/2024/stage-9,tour-cycliste-international-de-la-guadeloupe/2024/stage-9,,,False,Stage 9 | Pointe-à-Pitre - Baie-Mahault,,,154.0,New,,,,,,,,,,,,,,,,2025-01-20 11:32:41.577354
tour-cycliste-international-de-la-guadeloupe/2025,,,,True,Tour Cycliste International de la Guadeloupe,,,,WaitingForStartList,,,,,,,,,,,,,,,,2025-01-20 07:37:17.979754
tour-cycliste-international-de-la-guadeloupe/2025/stage-1,tour-cycliste-international-de-la-guadeloupe/2025/stage-1,,,True,Tour Cycliste International de la Guadeloupe,2025-08-01,Multi-day race,0.0,WaitingForStartList,,2.2.Stage,UCI.WR.2.Stage,0.0,,,,,?-letusknow!,2.2,ME - Men Elite,,,,,2025-01-20 08:36:02.807321
tour-cycliste-international-de-la-guadeloupe/2025/stage-10,tour-cycliste-international-de-la-guadeloupe/2025/stage-10,,,True,Tour Cycliste International de la Guadeloupe,2025-08-10,Multi-day race,0.0,WaitingForStartList,,2.2.Stage,UCI.WR.2.Stage,0.0,,,,,?-letusknow!,2.2,ME - Men Elite,,,,,2025-01-20 08:36:05.984820
tour-cycliste-international-de-la-guadeloupe/2025/stage-2,tour-cycliste-international-de-la-guadeloupe/2025/stage-2,,,True,Tour Cycliste International de la Guadeloupe,2025-08-02,Multi-day race,0.0,WaitingForStartList,,2.2.Stage,UCI.WR.2.Stage,0.0,,,,,?-letusknow!,2.2,ME - Men Elite,,,,,2025-01-20 08:36:09.175082
tour-cycliste-international-de-la-guadeloupe/2025/stage-3,tour-cycliste-international-de-la-guadeloupe/2025/stage-3,,,True,Tour Cycliste International de la Guadeloupe,2025-08-03,Multi-day race,0.0,WaitingForStartList,,2.2.Stage,UCI.WR.2.Stage,0.0,,,,,?-letusknow!,2.2,ME - Men Elite,,,,,2025-01-20 08:36:12.344826
tour-cycliste-international-de-la-guadeloupe/2025/stage-4,tour-cycliste-international-de-la-guadeloupe/2025/stage-4,,,True,Tour Cycliste International de la Guadeloupe,2025-08-04,Multi-day race,0.0,WaitingForStartList,,2.2.Stage,UCI.WR.2.Stage,0.0,,,,,?-letusknow!,2.2,ME - Men Elite,,,,,2025-01-20 08:36:15.512446
tour-cycliste-international-de-la-guadeloupe/2025/stage-5,tour-cycliste-international-de-la-guadeloupe/2025/stage-5,,,True,Tour Cycliste International de la Guadeloupe,2025-08-05,Multi-day race,0.0,WaitingForStartList,,2.2.Stage,UCI.WR.2.Stage,0.0,,,,,?-letusknow!,2.2,ME - Men Elite,,,,,2025-01-20 08:36:18.699782
tour-cycliste-international-de-la-guadeloupe/2025/stage-6,tour-cycliste-international-de-la-guadeloupe/2025/stage-6,,,True,Tour Cycliste International de la Guadeloupe,2025-08-06,Multi-day race,0.0,WaitingForStartList,,2.2.Stage,UCI.WR.2.Stage,0.0,,,,,?-letusknow!,2.2,ME - Men Elite,,,,,2025-01-20 08:36:21.849324
tour-cycliste-international-de-la-guadeloupe/2025/stage-7,tour-cycliste-international-de-la-guadeloupe/2025/stage-7,,,True,Tour Cycliste International de la Guadeloupe,2025-08-07,Multi-day race,0.0,WaitingForStartList,,2.2.Stage,UCI.WR.2.Stage,0.0,,,,,?-letusknow!,2.2,ME - Men Elite,,,,,2025-01-20 08:36:25.009863
tour-cycliste-international-de-la-guadeloupe/2025/stage-8,tour-cycliste-international-de-la-guadeloupe/2025/stage-8,,,True,Tour Cycliste International de la Guadeloupe,2025-08-08,Multi-day race,0.0,WaitingForStartList,,2.2.Stage,UCI.WR.2.Stage,0.0,,,,,?-letusknow!,2.2,ME - Men Elite,,,,,2025-01-20 08:36:34.522739
tour-cycliste-international-de-la-guadeloupe/2025/stage-9,tour-cycliste-international-de-la-guadeloupe/2025/stage-9,,,True,Tour Cycliste International de la Guadeloupe,2025-08-09,Multi-day race,0.0,WaitingForStartList,,2.2.Stage,UCI.WR.2.Stage,0.0,,,,,?-letusknow!,2.2,ME - Men Elite,,,,,2025-01-20 08:36:37.687202
tour-dalgerie-cycliste/2023,,,,False,Tour d'Algérie Cycliste,,,,New,,,,,,,,,,,,,,,,2025-01-20 12:57:09.999595
tour-dalgerie-cycliste/2024,tour-d-algerie-cycliste/2025,,,True,Tour d'Algérie Cycliste,,,,WaitingForStartList,,,,,,,,,,,,,,,,
tour-dalgerie-cycliste/2024/stage-1,tour-d-algerie-cycliste/2025/stage-1,,,False,Stage 1 | Guelma - Constantine,,,135.0,New,,,,,,,,,,,,,,,,2025-01-20 11:32:44.058901
tour-dalgerie-cycliste/2024/stage-10,tour-d-algerie-cycliste/2025/stage-10,,,False,Stage 10 | Ouargla  - Hassin Messaoud,,,84.0,New,,,,,,,,,,,,,,,,2025-01-20 11:32:44.175313
tour-dalgerie-cycliste/2024/stage-2,tour-d-algerie-cycliste/2025/stage-2,,,False,Stage 2 | Constantine  - Sétif,,,129.0,New,,,,,,,,,,,,,,,,2025-01-20 11:32:44.076393
tour-dalgerie-cycliste/2024/stage-3,tour-d-algerie-cycliste/2025/stage-3,,,False,Stage 3 | Sétif  - Batna,,,136.0,New,,,,,,,,,,,,,,,,2025-01-20 11:32:44.087724
tour-dalgerie-cycliste/2024/stage-4,tour-d-algerie-cycliste/2025/stage-4,,,False,Stage 4 | Batna  - Biskra,,,114.0,New,,,,,,,,,,,,,,,,2025-01-20 11:32:44.098908
tour-dalgerie-cycliste/2024/stage-5,tour-d-algerie-cycliste/2025/stage-5,,,False,Stage 5 | Biskra  - Bousaada,,,176.0,New,,,,,,,,,,,,,,,,2025-01-20 11:32:44.109831
tour-dalgerie-cycliste/2024/stage-6,tour-d-algerie-cycliste/2025/stage-6,,,False,Stage 6 | Boussaada  - Djelfa,,,111.0,New,,,,,,,,,,,,,,,,2025-01-20 11:32:44.121538
tour-dalgerie-cycliste/2024/stage-7,tour-d-algerie-cycliste/2025/stage-7,,,False,Stage 7 | Djelfa  - Laghouat,,,108.0,New,,,,,,,,,,,,,,,,2025-01-20 11:32:44.134337
tour-dalgerie-cycliste/2024/stage-8,tour-d-algerie-cycliste/2025/stage-8,,,False,Stage 8 | Laghouat  - Ghardaia,,,194.0,New,,,,,,,,,,,,,,,,2025-01-20 11:32:44.146528
